round,source,target
1,17,3
1,7,4
1,17,20
1,17,21
1,17,22
1,7,25
1,7,27
1,17,32
1,17,36
1,17,37
1,17,38
1,17,46
1,17,48
1,7,49
2,36,0
2,36,2
2,17,3
2,7,4
2,22,5
2,22,6
2,22,8
2,36,9
2,36,10
2,36,12
2,49,18
2,36,19
2,7,20
2,17,21
2,17,22
2,22,23
2,36,24
2,17,25
2,36,26
2,7,27
2,49,29
2,17,32
2,17,36
2,17,37
2,17,38
2,36,40
2,49,42
2,7,46
2,17,48
2,7,49
3,9,1
3,7,4
3,9,5
3,25,6
3,25,9
3,25,10
3,8,11
3,25,12
3,8,15
3,25,18
3,25,19
3,7,20
3,8,22
3,8,23
3,8,24
3,9,25
3,7,27
3,25,28
3,8,29
3,8,31
3,8,32
3,8,33
3,9,36
3,9,37
3,9,39
3,25,42
3,25,43
3,9,44
3,25,45
3,7,46
3,7,48
3,7,49
4,17,3
4,7,4
4,22,5
4,22,6
4,22,8
4,2,10
4,46,12
4,2,13
4,21,16
4,46,19
4,46,20
4,17,21
4,17,22
4,22,23
4,46,24
4,7,25
4,7,27
4,2,28
4,21,29
4,7,32
4,21,34
4,17,36
4,17,37
4,17,38
4,46,39
4,21,40
4,15,41
4,2,44
4,46,45
4,7,46
4,21,47
4,2,48
4,7,49
5,12,0
5,29,1
5,48,2
5,17,3
5,7,4
5,21,5
5,48,6
5,29,8
5,12,9
5,23,10
5,29,11
5,48,14
5,23,16
5,23,18
5,7,20
5,49,21
5,17,22
5,29,23
5,12,24
5,17,25
5,29,27
5,21,28
5,23,29
5,21,32
5,23,33
5,48,34
5,21,36
5,17,37
5,17,38
5,48,40
5,49,42
5,29,43
5,48,44
5,29,46
5,21,47
5,7,48
5,7,49
6,10,0
6,10,2
6,21,3
6,21,5
6,23,8
6,23,10
6,10,12
6,27,13
6,23,14
6,21,16
6,23,18
6,27,19
6,49,21
6,10,23
6,10,24
6,10,26
6,21,28
6,27,29
6,23,33
6,21,34
6,10,38
6,10,40
6,49,42
6,33,44
6,21,47
7,42,0
7,20,1
7,32,2
7,22,6
7,29,8
7,20,9
7,32,11
7,46,12
7,3,13
7,20,14
7,49,18
7,46,19
7,42,26
7,46,28
7,20,31
7,3,33
7,42,34
7,42,35
7,40,39
7,3,40
7,49,42
7,32,43
7,46,45
7,32,47
8,45,0
8,29,1
8,48,2
8,5,9
8,12,11
8,3,13
8,23,14
8,19,16
8,42,26
8,5,30
8,19,31
8,3,33
8,21,34
8,5,35
8,47,41
8,42,43
8,48,44
8,19,45
8,42,47
9,2,16
10,45,16
22,46,29
